city,category,name,lat,lon
bangalore,gyms,Rock's Gym,12.9557519,77.7281366
bangalore,gyms,cult.fit,12.9705764,77.6449017
bangalore,gyms,cult.fit,12.9708568,77.6072945
bangalore,gyms,Bangalore Fitness Center (BFC),13.0547653,77.5757273
bangalore,gyms,Burnout Fitness Centre,12.9569816,77.7029045
bangalore,gyms,Fit City Gym,12.8947805,77.6615315
bangalore,gyms,The Practice Room,13.0012722,77.6239694
bangalore,gyms,cult.fit,12.9568772,77.7087819
bangalore,gyms,cult.fit,12.9120593,77.6488203
bangalore,gyms,cult.fit,12.9756215,77.6974475
bangalore,gyms,Fitness One,12.9714323,77.6351019
bangalore,gyms,Flame Fitness 24-7,12.9570292,77.566049
bangalore,gyms,Yoga Niketan,12.9515979,77.569014
bangalore,gyms,Shield's Fitness Club,12.9479601,77.5688993
bangalore,gyms,Deshwal.fit,12.9512098,77.5697613
bangalore,gyms,Russh Fitness,12.9492629,77.569886
bangalore,gyms,Yoganiketan,12.9510335,77.5689853
bangalore,gyms,Ashish Yoga Fitness,12.9630399,77.7131382
bangalore,gyms,iconic FITNESS,12.8872081,77.5818638
bangalore,gyms,cult.fit,13.0635437,77.5870164
bangalore,gyms,nan,13.011902,77.556864
bangalore,gyms,cult.fit,13.0249441,77.7613248
bangalore,gyms,Zoom Fitness,12.9127391,77.6061817
bangalore,gyms,cult.fit,12.906592,77.5925708
bangalore,gyms,Iconic Fitness,12.9364406,77.6160982
bangalore,gyms,cult.fit,12.9844833,77.7085808
bangalore,gyms,cult.fit,12.915469,77.6491548
bangalore,gyms,Goldkraft Fitness,12.9107901,77.5822781
bangalore,gyms,O2 The Fitness,12.910476,77.5822027
bangalore,gyms,Karma Center,12.9075107,77.5859176
bangalore,gyms,cult.fit,12.9626272,77.7166736
bangalore,gyms,nan,12.9704236,77.7394331
bangalore,gyms,Rajyoga Meditation Center,12.8895786,77.5790231
bangalore,gyms,New U Fitness,12.8824549,77.5659603
bangalore,gyms,Captain FItness,13.0468459,77.6280498
bangalore,gyms,Fitness Tycoon,12.9086342,77.6491611
bangalore,gyms,I-Fitness,12.913557,77.6102402
bangalore,gyms,Fitness Tycoon,12.9144334,77.6102754
bangalore,gyms,Pump Up Bengauru,12.9110518,77.6098576
bangalore,gyms,Physique Freaks,12.9109699,77.6098679
bangalore,gyms,nan,12.9814299,77.6138657
bangalore,gyms,Fitness Gym Point,12.9226727,77.6496582
bangalore,gyms,Slim Gym,12.9214229,77.6494794
bangalore,gyms,MFit 24 Gym,13.0682968,77.6043717
bangalore,gyms,cult.fit,13.0127702,77.6466864
bangalore,gyms,cult.fit,12.8829107,77.5488753
bangalore,gyms,Public Gym,12.9935922,77.5904534
bangalore,gyms,Body Forge,12.899519,77.6752339
bangalore,gyms,Plyo Fit,13.0599602,77.5179073
bangalore,gyms,Onset Fitness,12.9926981,77.5907507
bangalore,gyms,Kamaraj's Gym,12.9779697,77.6279533
bangalore,gyms,Fitness Emporium,12.9663764,77.7141798
bangalore,gyms,Falcon Fitness,12.947094,77.7181977
bangalore,gyms,Viv's Gym,12.9968033,77.6139269
bangalore,gyms,Filled Fitness,12.9967381,77.6138331
